timestamp_iso,phase,elapsed_s,warmup_seconds,target_rps,write_offered,write_attempts,write_success,write_dropped_backpressure,read_attempts,read_success,in_flight_writes,in_flight_reads,effective_write_rps,effective_read_rps,window_seconds,write_attempts_window,write_success_window,read_attempts_window,read_success_window,effective_write_rps_window,effective_read_rps_window,p95_write_ms,p95_read_ms,p95_write_ms_window,p95_read_ms_window,write_offered_steady,write_attempts_steady,write_success_steady,write_dropped_backpressure_steady,read_attempts_steady,read_success_steady,effective_write_rps_steady,effective_read_rps_steady,p95_write_ms_steady,p95_read_ms_steady,top_write_failures,routing_worker_service_running,routing_worker_service_desired,routing_worker_service_pending,dijkfood_api_service_running,dijkfood_api_service_desired,dijkfood_api_service_pending,dijkfood_location_service_running,dijkfood_location_service_desired,dijkfood_location_service_pending
2026-04-21T10:01:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:01:17,warmup,10.001260791999812,20,50,500,500,287,0,94,75,213,19,28.696381983117213,7.499054525204847,30,500,287,94,75,28.696381983117213,7.499054525204847,1471.9092703999193,1519.1372539993608,1471.9092703999193,1519.1372539993608,0,0,0,0,0,0,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:01:28,steady_state,20.001410540000506,20,50,980,980,680,0,190,158,300,15,33.99760225110518,7.899442875992085,30,980,680,190,158,33.99760225110518,7.899442875992085,2551.444559700212,1718.3190364998156,2551.444559700212,1718.3190364998156,0,0,0,0,0,0,0.0,0.0,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:01:39,steady_state,30.001539021002827,20,50,1181,1181,850,0,231,183,300,9,28.33187988806009,6.099687081782349,30,1180,850,231,183,28.333333333333332,6.1,6073.411445899727,1710.0919453001552,6073.411445899727,1710.0919453001552,181,181,37,0,37,22,3.6994306498531375,2.1996614674802437,1586.5407276010742,516.5597253981105,"[[""transition_timeout"", 17], [""timeout"", 14]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:01:50,steady_state,40.00164111400227,20,50,1481,1481,1057,0,291,210,300,18,26.42391588354122,5.249784612624083,30,980,770,196,135,25.666666666666668,4.5,6204.07612559793,1666.991542448703,6446.47683830044,1705.4218770983425,481,481,192,0,97,49,9.599212329911731,2.4497989800295565,5714.525849949314,562.5996218012003,"[[""transition_timeout"", 77], [""timeout"", 46], [""accept_http_400"", 1]]",2,2,0,2,2,1,1,1,0
2026-04-21T10:02:01,steady_state,50.001785948999895,20,50,1736,1736,1254,0,342,237,300,11,25.079104199978715,4.739830698082102,30,735,574,147,79,19.133333333333333,2.6333333333333333,6520.325910249083,1609.7815343993714,11145.826551200662,670.3658392980287,736,736,383,0,148,76,12.765906691390391,2.533182528839869,11184.261184299612,620.6499074996827,"[[""transition_timeout"", 111], [""timeout"", 70], [""accept_http_400"", 1]]",2,2,0,2,2,1,1,1,0
2026-04-21T10:02:11,steady_state,60.001798052002414,20,50,2030,2030,1494,0,400,274,300,11,24.89925383077985,4.5665298190319135,30,529,644,105,91,21.466666666666665,3.033333333333333,7352.138439498153,1554.198135451041,11277.562730951468,668.8707409994095,1030,1030,623,0,206,113,15.574299914971292,2.824873018285323,11277.705216301547,668.7297689997649,"[[""transition_timeout"", 143], [""timeout"", 92], [""accept_http_400"", 1]]",2,2,0,2,2,1,1,1,0
2026-04-21T10:02:22,steady_state,70.00187877099961,20,50,2275,2275,1664,0,449,303,300,10,23.770790573257617,4.328455254625636,30,274,607,54,93,20.233333333333334,3.1,11014.823843550766,1509.7190637989113,11304.761995201261,668.7297689997649,1275,1275,793,0,255,142,15.859404076231009,2.839893289816902,11265.527810801723,625.5268396995233,"[[""transition_timeout"", 193], [""timeout"", 117], [""accept_http_400"", 1]]",2,2,0,2,2,2,1,1,0
2026-04-21T10:02:33,steady_state,80.00200328200299,20,50,2499,2499,1814,0,494,331,300,10,22.674432208975347,4.137396395353274,30,0,560,0,94,18.666666666666668,3.1333333333333333,11036.10400589987,1495.1929324979574,11257.657010500952,582.0266935004835,1499,1499,943,0,300,170,15.716141935595067,2.8332387370637977,11213.388278297498,617.6591246499811,"[[""transition_timeout"", 236], [""timeout"", 148], [""accept_http_400"", 1]]",2,2,0,2,2,2,1,1,0
2026-04-21T10:02:44,steady_state,90.00211236200266,20,50,2734,2734,1962,0,541,349,300,15,21.79948835099033,3.8776867657979746,30,0,468,0,75,15.6,2.5,11026.953312398291,1482.576389799214,11115.837539801942,344.8691991998202,1734,1734,1091,0,347,188,15.585243976040326,2.68563324243408,11178.422282999236,615.4451682003128,"[[""transition_timeout"", 290], [""timeout"", 181], [""accept_http_400"", 1]]",2,2,0,2,2,2,1,1,0
2026-04-21T10:02:54,steady_state,100.00213697700019,20,50,2985,2985,2130,0,591,374,300,14,21.29954483362576,3.7399200787680913,30,0,466,0,71,15.533333333333333,2.3666666666666667,11025.90517959925,1448.7026565513577,11033.48747875134,531.430608500159,1985,1985,1259,0,397,213,15.737079627784816,2.662428880633968,11144.523611600378,635.0122148003716,"[[""transition_timeout"", 341], [""timeout"", 212], [""accept_http_400"", 1], [""transition_http_502"", 1]]",2,2,0,3,2,0,1,1,0
2026-04-21T10:03:05,steady_state,110.0022693840001,20,50,3089,3089,2147,0,612,376,300,10,19.517779151493418,3.4181112999355032,30,0,333,0,45,11.1,1.5,11035.986180501277,1493.3057927473783,11025.730190000468,1338.8511734010524,2089,2089,1276,0,418,215,14.177420288769266,2.3888286536719376,11140.255249501024,668.5887970001204,"[[""transition_timeout"", 399], [""timeout"", 241], [""accept_http_400"", 1], [""transition_http_502"", 1]]",2,2,0,3,2,0,1,1,0
