timestamp_iso,phase,elapsed_s,warmup_seconds,target_rps,write_offered,write_attempts,write_success,write_dropped_backpressure,read_attempts,read_success,in_flight_writes,in_flight_reads,effective_write_rps,effective_read_rps,window_seconds,write_attempts_window,write_success_window,read_attempts_window,read_success_window,effective_write_rps_window,effective_read_rps_window,p95_write_ms,p95_read_ms,p95_write_ms_window,p95_read_ms_window,write_offered_steady,write_attempts_steady,write_success_steady,write_dropped_backpressure_steady,read_attempts_steady,read_success_steady,effective_write_rps_steady,effective_read_rps_steady,p95_write_ms_steady,p95_read_ms_steady,top_write_failures,routing_worker_service_running,routing_worker_service_desired,routing_worker_service_pending,dijkfood_api_service_running,dijkfood_api_service_desired,dijkfood_api_service_pending,dijkfood_location_service_running,dijkfood_location_service_desired,dijkfood_location_service_pending
2026-04-21T12:51:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T12:51:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T12:52:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T12:52:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T12:52:30,warmup,10.00172932899659,120,200,50,50,48,0,10,10,2,0,4.799170065604598,0.9998270970009581,30,50,48,10,10,4.799170065604598,0.9998270970009581,279.58377704999293,372.25284149990307,279.58377704999293,372.25284149990307,0,0,0,0,0,0,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T12:52:41,warmup,20.052202473998477,120,200,151,151,136,0,30,28,13,2,6.782297364907922,1.396355339833984,30,151,136,30,28,6.782297364907922,1.396355339833984,708.5999084983996,602.0626463496227,708.5999084983996,602.0626463496227,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 2]]",2,2,0,2,2,0,1,1,0
2026-04-21T12:52:52,warmup,30.083669449999434,120,200,301,301,271,0,60,58,24,2,9.008209601904301,1.9279562985625442,30,300,271,60,58,9.033333333333333,1.9333333333333333,931.180117000622,1103.94075325039,931.180117000622,1103.94075325039,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 6]]",2,2,0,2,2,0,1,1,0
2026-04-21T12:53:03,warmup,40.085494295999524,120,200,502,502,354,0,100,95,48,5,8.831124730207673,2.369934602739347,30,451,306,90,85,10.2,2.8333333333333335,997.9248773997821,1480.2477219003777,1007.9143122493406,1506.178243400791,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 100]]",2,2,2,2,2,0,1,1,0
2026-04-21T12:53:14,warmup,50.10208763099945,120,200,752,752,447,0,150,136,52,10,8.92178392429759,2.71445774877958,30,600,311,120,108,10.366666666666667,3.6,1154.8536950976993,1602.7574502513744,1218.36913649895,1686.3628633000178,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 253]]",2,2,2,2,2,0,1,1,0
2026-04-21T12:53:25,warmup,70.13051053499657,120,200,1404,1404,926,0,280,251,75,11,13.20395349949587,3.579041391332034,30,901,572,180,155,19.066666666666666,5.166666666666667,1038.0256392481897,1460.6333185001859,1136.4087735493738,1398.9188021012517,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 403]]",2,2,2,2,2,0,1,1,0
2026-04-21T12:53:35,warmup,80.13393512999755,120,200,1805,1805,1022,0,361,302,88,17,12.75364798124611,3.768690499350612,30,1051,575,211,166,19.166666666666668,5.533333333333333,1042.1563977475666,1514.055334100885,976.4942634992618,1432.006956000805,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 695]]",3,2,1,2,2,0,1,1,0
2026-04-21T12:53:46,warmup,90.14529613399645,120,200,2256,2256,1121,0,451,349,106,25,12.435479698615554,3.871527577891907,30,1202,429,241,156,14.3,5.2,1056.4682310032367,1465.8646199997747,1105.3795981992153,1468.8013550012329,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 1029]]",3,2,0,2,2,0,1,1,0
2026-04-21T12:53:57,warmup,100.14752599599888,120,200,2757,2757,1217,0,551,401,122,31,12.15207253395977,4.004092922036046,30,1352,291,270,150,9.7,5.0,1060.1868002006088,1452.6377670008515,1107.8975269992952,1441.8465990500406,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 1418]]",3,2,0,2,2,2,1,1,0
2026-04-21T12:54:08,warmup,110.15623471199797,120,200,3308,3308,1394,0,661,480,125,19,12.654753529335808,4.357447413257667,30,1502,372,300,178,12.4,5.933333333333334,1055.8213672509735,1464.7873432500999,1099.5673549497951,1194.553311448727,0,0,0,0,0,0,,,,,"[[""timeout_fast"", 1789]]",2,2,0,2,2,2,1,1,0
2026-04-21T12:54:19,steady_state,120.15930996799943,120,200,3909,3909,1686,0,781,572,137,24,14.031372187881336,4.760346910716563,30,1652,565,330,223,18.833333333333332,7.433333333333334,1020.8876379974754,1449.5746817003233,956.3084851979511,1115.5530386986354,10,10,0,0,2,0,0.0,0.0,,,"[[""timeout_fast"", 2086]]",2,2,0,3,2,1,1,1,0
2026-04-21T12:54:30,steady_state,130.1627648729991,120,200,4560,4560,1899,0,912,644,163,45,14.589425799712155,4.947651508696486,30,1802,682,361,243,22.733333333333334,8.1,1029.4560924012328,1445.3278803499418,958.2536086983963,1271.3972162000573,661,661,180,0,133,68,17.711715487803144,6.691092517614521,1011.2934744029171,1321.851895150212,"[[""timeout_fast"", 2498]]",2,2,0,3,14,13,1,1,0
2026-04-21T12:54:41,steady_state,140.16535921699688,120,200,5261,5261,1899,0,1052,644,175,72,13.548283331975519,4.5945731784056,30,1952,505,391,164,16.833333333333332,5.466666666666667,1029.4560924012328,1445.3278803499418,919.822579399624,1243.3757888984471,1362,1362,180,0,273,68,8.926198539933894,3.372119448419471,1011.2934744029171,1321.851895150212,"[[""timeout_fast"", 3187]]",2,2,0,4,14,12,1,1,0
2026-04-21T12:54:52,steady_state,150.16845938299957,120,200,6012,6012,1943,0,1202,687,177,39,12.938802249042485,4.5748621436398285,30,2102,257,420,115,8.566666666666666,3.8333333333333335,1024.4470446017654,1417.2959469022305,1058.964820600522,1221.0621892991185,2113,2113,224,0,423,111,7.424973120312127,3.6793393587260987,953.3865789488116,1228.8078954989032,"[[""timeout_fast"", 3892]]",2,2,0,4,14,12,1,1,0
2026-04-21T12:55:03,steady_state,160.17005068599974,120,200,6813,6813,1972,0,1362,767,200,51,12.311914690380815,4.788660531197812,30,2252,73,450,123,2.433333333333333,4.1,1024.9190809014178,1478.2855005014426,878.6624568005208,1671.1119969007987,2914,2914,253,0,583,191,6.298224564804365,4.754786133903691,977.8765454000667,1551.04098800075,"[[""timeout_fast"", 4641]]",2,2,0,16,14,0,1,10,9
2026-04-21T12:55:13,steady_state,170.17262684999878,120,200,7664,7664,2256,0,1532,865,126,15,13.257126259140286,5.083073676487742,30,2402,357,480,221,11.9,7.366666666666666,1055.4919460000747,1527.3989494002303,1707.5453385994476,1718.2327219998115,3765,3765,537,0,753,289,10.703047333070085,5.760112996754664,1170.4418375986274,1690.6611625985533,"[[""timeout_fast"", 5282]]",2,2,0,16,14,0,1,10,9
2026-04-21T12:55:24,steady_state,180.17397624999649,120,200,8565,8565,2903,0,1713,1022,106,16,16.112204772414,5.67229530740858,30,2552,960,511,335,32.0,11.166666666666666,995.8033163999063,1466.5501597495677,728.3601708504627,1602.913713000818,4666,4666,1184,0,934,446,19.676279910122595,7.411841925603612,836.7585990994484,1494.5868022487048,"[[""timeout_fast"", 5556]]",2,2,0,14,14,0,1,10,9
