timestamp_iso,phase,elapsed_s,warmup_seconds,target_rps,write_offered,write_attempts,write_success,write_dropped_backpressure,read_attempts,read_success,in_flight_writes,in_flight_reads,effective_write_rps,effective_read_rps,window_seconds,write_attempts_window,write_success_window,read_attempts_window,read_success_window,effective_write_rps_window,effective_read_rps_window,p95_write_ms,p95_read_ms,p95_write_ms_window,p95_read_ms_window,write_offered_steady,write_attempts_steady,write_success_steady,write_dropped_backpressure_steady,read_attempts_steady,read_success_steady,effective_write_rps_steady,effective_read_rps_steady,p95_write_ms_steady,p95_read_ms_steady,top_write_failures,routing_worker_service_running,routing_worker_service_desired,routing_worker_service_pending,dijkfood_api_service_running,dijkfood_api_service_desired,dijkfood_api_service_pending,dijkfood_location_service_running,dijkfood_location_service_desired,dijkfood_location_service_pending
2026-04-21T09:37:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:37:16,warmup,10.000511670999913,20,10,100,100,96,0,19,19,4,0,9.59950882097229,1.899902787484099,30,100,96,19,19,9.59950882097229,1.899902787484099,274.187320749661,182.56044900026592,274.187320749661,182.56044900026592,0,0,0,0,0,0,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:37:27,steady_state,20.040027475000898,20,10,201,201,197,0,39,39,4,0,9.830325843901628,1.9461051163053984,30,201,197,39,39,9.830325843901628,1.9461051163053984,186.41747820074644,195.91358950019642,186.41747820074644,195.91358950019642,1,1,0,0,0,0,0.0,0.0,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:37:38,steady_state,30.08042438600023,20,10,301,301,297,0,59,59,4,0,9.873530911293496,1.9614084975296846,30,300,297,59,59,9.9,1.9666666666666666,172.42494420024735,200.79199359915944,172.42494420024735,200.79199359915944,101,101,97,0,20,20,9.622610743920099,1.9840434523546597,157.03562879934907,200.74656734914242,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:37:49,steady_state,40.086192016000496,20,10,401,401,397,0,79,79,4,0,9.90365959035312,1.9707534197428125,30,300,300,60,60,10.0,2.0,165.67345200055567,200.49954829919443,162.07263234937273,200.48897714914347,201,201,197,0,40,40,9.807732587793216,1.991417784323496,157.85629499951025,200.48897714914347,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:37:59,steady_state,50.10170574900076,20,10,501,501,497,0,99,99,4,0,9.91982194158953,1.9759806282039507,30,299,300,60,60,10.0,2.0,163.95051579893334,199.52387949888362,157.90352059975703,199.470850248872,301,301,297,0,60,60,9.866550503034503,1.9932425258655562,157.66468859947054,199.470850248872,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:38:10,steady_state,60.10680374000003,20,10,602,602,596,0,119,119,6,0,9.915682799871995,1.9798091496388714,30,300,299,60,60,9.966666666666667,2.0,175.2478609996615,200.49954829919443,174.8188223999022,199.48142139892298,402,402,396,0,80,80,9.873636467446898,1.9946740338276563,164.51010149921785,200.48897714914347,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:38:21,steady_state,70.15129857899956,20,10,702,702,697,0,139,139,5,0,9.935667822529139,1.9814316030581782,30,300,299,60,60,9.966666666666667,2.0,175.197002599816,199.52387949888362,182.47631689864642,197.61444739961007,502,502,497,0,100,100,9.910012583564779,1.993966314600559,171.97344860069276,199.470850248872,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:38:32,steady_state,80.18900241099982,20,10,802,802,798,0,159,159,4,0,9.95148930660017,1.9828155385331168,30,300,300,60,60,10.0,2.0,171.95238945068922,199.52387949888362,184.3442407989642,198.18287299967773,602,602,598,0,120,120,9.935369852395372,1.9937197028218139,167.09217250090657,199.470850248872,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:38:42,steady_state,90.2005638339997,20,10,902,902,898,0,179,179,4,0,9.955591870275127,1.9844665309345744,30,299,302,59,60,10.066666666666666,2.0,167.9867239490704,198.21368579978295,165.9227891509545,197.5435339496471,702,702,698,0,140,140,9.942940083081542,1.9942859765493064,165.35130354941427,198.1467893998342,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:38:54,steady_state,110.2415293110007,20,10,1103,1103,1097,0,220,219,6,1,9.950877921017133,1.9865471875139034,30,300,299,60,60,9.966666666666667,2.0,166.98183720109228,198.21368579978295,162.19803469903124,198.00356904961518,903,903,897,0,181,180,9.939991119927232,1.9946470474770364,165.1100235994818,198.1467893998342,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:39:05,steady_state,120.25235691700072,20,10,1203,1203,1193,0,240,239,10,1,9.920803471847288,1.9874870324991634,30,300,295,60,60,9.833333333333334,2.0,170.52858399983947,200.49954829919443,176.2152961000539,206.05945979878015,1003,1003,993,0,201,200,9.905004037182968,1.9949655664014034,168.00280440002098,200.48897714914347,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:39:16,steady_state,130.28436655599944,20,10,1303,1303,1299,0,260,259,4,1,9.970497875826549,1.9879591607691118,30,300,300,60,60,10.0,2.0,174.51515989996548,199.52387949888362,261.96813365040765,195.81516450007254,1103,1103,1099,0,221,220,9.965147684299907,1.9948430305240943,172.23549699883733,199.47085024887198,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:39:27,steady_state,140.29510052499973,20,10,1403,1403,1399,0,280,279,4,1,9.971837895726848,1.9886653130148613,30,300,300,60,60,10.0,2.0,174.12795300006107,200.49954829919443,231.52398399952313,205.3496355996685,1203,1203,1199,0,241,240,9.967155725937682,1.9950937232902781,172.20194259862183,200.48897714914347,[],2,2,0,2,2,0,1,1,0
2026-04-21T09:39:37,steady_state,150.30044572000043,20,10,1503,1503,1499,0,300,299,4,1,9.973356983867737,1.9893487246007027,30,299,306,60,60,10.2,2.0,173.13852639999814,199.5238794988836,205.15974225008904,190.51956009980128,1303,1303,1299,0,261,260,9.969267509578522,1.9953884160819213,172.23549699883733,199.47085024887198,[],2,2,0,2,2,0,1,1,0
